utt_id,text,h,s,b,dimmer,tag
78,문득 낮 거실에 포근한 맴도는 포개진 졸음,195,45,23,29,sleepy
79,주말 작은 방 감사한 마음 위로 나뭇결의 고요이 머무는는 느낌,46,55,92,83,natural
80,가만히 담백한 온기과 가벼운 발걸음이 작은 방에 따르는 비 오는 공기,38,76,81,67,warm
81,평일 서재 설레는 느낌 위로 바람 결의 숨결이 스며드는는 느낌,38,43,84,85,natural
82,문득 주말 서재에 쌀쌀한 감싸는 날 선 감정,12,100,80,75,angry
83,주말 방에 잔잔한 파도이 번지는 리듬,35,47,51,62,calm
84,은근히 아침 베란다에 비 오는 깃드는 찌릿한 눈가,29,41,32,27,uncomfortable
85,가만히 소소한 기쁨과 상쾌한 기분이 서재에 맴도는 흐린 공기,77,99,91,78,happy
86,낮 방에 가라앉은 체력이 감싸는 발자국,45,44,42,37,tired
87,흐린 오후 설레는 느낌 사이로 잔잔한 파도이 감싸는다,38,69,51,48,calm
88,맑은 밤 잔잔한 안정감 사이로 잔잔한 파도이 감싸는다,44,67,59,51,calm
89,조용히 포근한 마음결과 가벼운 발걸음이 거실에 스며드는 포근한 공기,21,91,86,55,warm
90,천천히 길어진 침묵과 거칠어진 감정이 작업실에 흘러가는 축축한 공기,211,52,33,41,lonely
91,밤 작은 방 지친 기운 위로 가라앉은 표정이 감싸는는 느낌,234,74,49,44,sad
92,천천히 새벽 부엌에 포근한 머무는 속삭이는 밤,267,100,82,74,romantic
93,은근히 저녁 부엌에 쌀쌀한 따르는 말린 어깨,38,44,39,45,tired
94,조용히 주말 작은 방에 비 오는 번지는 홀로 선 그림자,249,68,34,35,lonely
95,아침 서재에 쫓기는 생각이 깃드는 호흡,193,65,61,49,anxious
96,조용히 날 선 감정과 메마른 하루이 부엌에 적시는 비 오는 공기,9,97,70,74,angry
97,오래도록 아침 작은 방에 바람 부는 흘러가는 누그러진 긴장,38,82,84,62,warm
98,아침 부엌에 소소한 기쁨이 적시는 맥박,41,97,90,78,happy
99,오후 작은 방 거칠어진 감정 위로 늘어진 하품이 스며드는는 느낌,225,35,33,38,sleepy
100,오후 서재에 환한 마음이 흘러가는 리듬,60,99,95,92,happy
101,비 오는 밤 감사한 마음 사이로 또렷한 시선이 깃드는다,206,70,66,69,focused
102,주말 작은 방 설레는 느낌 위로 가지런한 호흡이 머무는는 느낌,202,89,72,71,focused
103,살며시 오후 거실에 흐린 따르는 속삭이는 밤,275,99,88,80,romantic
104,가만히 탄력 있는 리듬과 상쾌한 기분이 작은 방에 적시는 안개 낀 공기,55,100,98,90,energetic
105,아침 작업실 거칠어진 감정 위로 서걱대는 마음이 머무는는 느낌,0,49,37,30,uncomfortable
106,평일 부엌 잔잔한 안정감 위로 포근한 마음결이 번지는는 느낌,16,86,72,63,warm
107,바람 부는 낮 따가운 신경 사이로 비어 있는 자리이 따르는다,226,60,42,38,lonely
108,바람 부는 오후 설레는 느낌 사이로 달콤한 온기이 적시는다,278,100,76,70,romantic
109,아침 작은 방 감사한 마음 위로 은은한 설렘이 맴도는는 느낌,276,88,78,80,romantic
110,축축한 오후 감사한 마음 사이로 바람 결의 숨결이 따르는다,64,52,84,82,natural
111,은근히 햇결 같은 평온과 고요한 평온이 베란다에 깃드는 축축한 공기,65,39,86,87,natural
112,안개 낀 밤 따가운 신경 사이로 잿빛 기분이 흘러가는다,204,65,36,36,sad
113,주말 베란다에 촉촉한 눈가이 깃드는 공기,233,50,35,26,sad
114,어느새 바람 결의 숨결과 들뜬 마음이 방에 맴도는 비 오는 공기,52,40,87,73,natural
115,주말 방 무거운 마음 위로 뜨거운 숨결이 감싸는는 느낌,348,100,74,79,angry
116,문득 포개진 감사과 가벼운 발걸음이 거실에 머무는 포근한 공기,82,66,98,79,grateful
117,가만히 밤 베란다에 맑은 따르는 한기 어린 마음,218,63,40,32,lonely
118,오래도록 주말 서재에 축축한 맴도는 촉촉한 눈가,240,46,42,48,sad
119,평일 복도에 잿빛 기분이 깃드는 공기,226,58,42,48,sad
120,아련히 가지런한 호흡과 설레는 느낌이 복도에 깃드는 안개 낀 공기,187,78,70,67,focused
121,바람 부는 낮 고요한 평온 사이로 잔잔한 파도이 스며드는다,18,40,54,46,calm
122,낮 작업실에 보랏빛 감성이 흘러가는 호흡,294,89,86,70,romantic
123,저녁 작은 방에 누그러진 긴장이 머무는 손끝,39,87,78,73,warm
124,어느새 포개진 감사과 들뜬 마음이 방에 깃드는 흐린 공기,109,62,92,90,grateful
125,맑은 밤 지친 기운 사이로 잿빛 기분이 머무는다,223,56,48,35,sad
126,안개 낀 평일 거칠어진 감정 사이로 말린 어깨이 적시는다,36,45,45,40,tired
127,새벽 복도에 은은한 설렘이 머무는 공기,290,100,76,64,romantic
128,아침 작업실에 바람 결의 숨결이 머무는 호흡,64,51,78,72,natural
129,오래도록 오후 방에 비 오는 머무는 팽팽한 의지,54,100,100,95,energetic
130,오래도록 저녁 베란다에 흐린 맴도는 고마운 하루,110,76,90,92,grateful
131,오래도록 은은한 설렘과 감사한 마음이 복도에 스며드는 포근한 공기,273,98,79,60,romantic
132,문득 축 처진 기운과 따가운 신경이 작은 방에 깃드는 비 오는 공기,47,51,54,45,tired
133,축축한 새벽 감사한 마음 사이로 누그러진 긴장이 따르는다,42,87,76,73,warm
134,비 오는 아침 거칠어진 감정 사이로 뜨거운 숨결이 깃드는다,9,100,73,73,angry
135,안개 낀 오후 활기찬 리듬 사이로 도약하는 기분이 깃드는다,59,100,95,90,energetic
136,천천히 주말 부엌에 흐린 흘러가는 서걱대는 마음,12,40,20,40,uncomfortable
137,가만히 새벽 방에 포근한 머무는 탄력 있는 리듬,90,99,100,96,energetic
138,저녁 작업실에 묵직한 하루이 맴도는 손끝,30,42,39,45,tired
139,주말 방 감사한 마음 위로 가지런한 호흡이 번지는는 느낌,191,82,74,75,focused
140,은근히 비어 있는 자리과 따가운 신경이 베란다에 적시는 바람 부는 공기,228,57,29,39,lonely
141,포근한 평일 활기찬 리듬 사이로 창가의 잔빛이 깃드는다,54,37,85,73,natural
142,어느새 아침 부엌에 흐린 머무는 소소한 기쁨,53,94,98,77,happy
143,새벽 방에 또렷한 시선이 깃드는 호흡,213,71,70,65,focused
144,어느새 아침 방에 안개 낀 맴도는 서걱대는 마음,357,46,39,35,uncomfortable
145,주말 베란다 거칠어진 감정 위로 잔 떨림의 손끝이 감싸는는 느낌,194,69,47,44,anxious
146,오래도록 나뭇결의 고요과 잔잔한 안정감이 베란다에 흘러가는 쌀쌀한 공기,68,45,83,87,natural
147,밤 작업실 잔잔한 안정감 위로 달콤한 온기이 감싸는는 느낌,272,92,90,70,romantic
148,포근한 저녁 활기찬 리듬 사이로 탄력 있는 리듬이 깃드는다,80,100,100,91,energetic
149,문득 낮 서재에 바람 부는 흘러가는 보랏빛 감성,288,100,75,78,romantic
150,평일 작업실에 잦은 맥박이 따르는 생각,200,60,58,48,anxious
151,축축한 밤 활기찬 리듬 사이로 바람 결의 숨결이 스며드는다,37,38,90,87,natural
152,새벽 서재 울적한 기분 위로 찌릿한 눈가이 깃드는는 느낌,17,54,31,25,uncomfortable
153,조용히 잔 떨림의 손끝과 메마른 하루이 부엌에 스며드는 바람 부는 공기,196,79,45,42,anxious
154,비 오는 낮 활기찬 리듬 사이로 탄력 있는 리듬이 적시는다,53,100,100,94,energetic
155,문득 아침 복도에 비 오는 적시는 잦은 맥박,204,71,51,58,anxious
156,은근히 저녁 거실에 쌀쌀한 스며드는 뜨거운 숨결,353,100,82,85,angry
157,흐린 저녁 상쾌한 기분 사이로 누그러진 긴장이 번지는다,36,80,89,63,warm
158,아침 방 가벼운 발걸음 위로 고요한 호흡이 깃드는는 느낌,36,53,46,50,calm
159,아침 서재에 담백한 온기이 흘러가는 걸음,19,93,80,62,warm
160,문득 낮 거실에 안개 낀 머무는 고요한 호흡,63,44,48,50,calm
161,포근한 저녁 가벼운 발걸음 사이로 고마운 하루이 머무는다,107,72,85,78,grateful
162,아침 작업실에 달콤한 온기이 머무는 발자국,290,100,93,69,romantic
163,낮 복도에 느려진 시간이 감싸는 생각,193,43,20,38,sleepy
164,밤 서재에 햇결 같은 평온이 따르는 맥박,39,52,89,87,natural
165,가만히 낮 거실에 포근한 스며드는 잔 떨림의 손끝,215,68,47,47,anxious
166,오후 작은 방에 담백한 온기이 따르는 시선,25,82,83,71,warm
167,천천히 밤 거실에 비 오는 감싸는 좁아진 호흡,184,61,59,60,anxious
168,가만히 낮 서재에 쌀쌀한 머무는 뜨거운 숨결,348,100,81,80,angry
169,오후 베란다에 날 선 감정이 따르는 발자국,15,100,82,76,angry
170,주말 거실 거칠어진 감정 위로 거친 심장박동이 번지는는 느낌,0,95,71,66,angry
171,아련히 아침 베란다에 흐린 맴도는 탄력 있는 리듬,59,100,100,90,energetic
172,살며시 속삭이는 밤과 들뜬 마음이 서재에 깃드는 포근한 공기,271,89,79,72,romantic
173,조용히 오후 복도에 안개 낀 따르는 잿빛 기분,238,69,38,53,sad
174,가만히 포근한 마음결과 가벼운 발걸음이 작업실에 적시는 비 오는 공기,42,87,85,67,warm
175,오래도록 새벽 복도에 포근한 흘러가는 홀로 선 그림자,213,60,31,26,lonely
176,주말 복도 거칠어진 감정 위로 한기 어린 마음이 맴도는는 느낌,229,50,44,32,lonely
177,비 오는 오후 울적한 기분 사이로 비어 있는 자리이 따르는다,244,62,45,34,lonely
178,아침 복도 쓸쓸한 생각 위로 가라앉은 표정이 감싸는는 느낌,240,61,32,26,sad
179,문득 새벽 작은 방에 바람 부는 따르는 햇결 같은 평온,56,39,79,85,natural
180,비 오는 낮 울적한 기분 사이로 느려진 시간이 깃드는다,216,43,19,20,sleepy
181,오후 거실에 나뭇결의 고요이 맴도는 리듬,43,47,80,75,natural
182,새벽 베란다에 선명한 생각이 깃드는 발자국,189,89,63,72,focused
183,저녁 부엌에 유쾌한 웃음이 감싸는 걸음,59,97,92,92,happy
184,맑은 밤 메마른 하루 사이로 홀로 선 그림자이 따르는다,236,51,39,42,lonely
185,맑은 낮 들뜬 마음 사이로 달콤한 온기이 적시는다,278,89,80,72,romantic
186,가만히 거친 심장박동과 거칠어진 감정이 거실에 감싸는 맑은 공기,346,100,84,85,angry
187,주말 거실에 한기 어린 마음이 머무는 손끝,242,60,35,32,lonely
188,오래도록 축 처진 기운과 쓸쓸한 생각이 방에 스며드는 맑은 공기,13,55,38,37,tired
189,오래도록 평일 베란다에 바람 부는 적시는 포개진 졸음,195,37,22,20,sleepy
190,평일 부엌에 보랏빛 감성이 스며드는 호흡,285,90,85,71,romantic
191,조용히 느릿한 시간과 설레는 느낌이 부엌에 깃드는 포근한 공기,25,47,45,46,calm
192,저녁 베란다 무거운 마음 위로 홀로 선 그림자이 깃드는는 느낌,227,65,26,36,lonely
193,가만히 담백한 온기과 상쾌한 기분이 부엌에 맴도는 비 오는 공기,43,84,84,63,warm
194,평일 거실에 보랏빛 감성이 머무는 손끝,287,98,88,69,romantic
195,아련히 뜨거운 숨결과 지친 기운이 부엌에 맴도는 축축한 공기,355,100,78,80,angry
196,비 오는 낮 무거운 마음 사이로 길어진 침묵이 흘러가는다,221,55,26,37,lonely
197,새벽 서재에 묵직한 하루이 머무는 시선,15,56,38,34,tired
198,평일 작은 방에 서걱대는 마음이 번지는 발자국,20,49,22,30,uncomfortable
199,바람 부는 평일 메마른 하루 사이로 한기 어린 마음이 흘러가는다,221,67,34,38,lonely
200,살며시 평일 방에 안개 낀 맴도는 촉촉한 눈가,218,58,50,54,sad
201,천천히 저녁 방에 축축한 따르는 바람 결의 숨결,54,54,83,85,natural
202,천천히 뜨거운 숨결과 메마른 하루이 베란다에 흘러가는 맑은 공기,349,100,90,67,angry
203,안개 낀 주말 따가운 신경 사이로 좁아진 호흡이 번지는다,180,77,46,57,anxious
204,낮 거실 지친 기운 위로 거슬리는 기분이 따르는는 느낌,29,57,31,44,uncomfortable
205,평일 부엌에 팽팽한 의지이 적시는 손끝,87,100,96,98,energetic
206,문득 평일 복도에 포근한 머무는 소소한 기쁨,42,90,93,86,happy
207,밤 부엌에 또렷한 시선이 적시는 걸음,201,80,72,62,focused
208,주말 부엌에 팽팽한 의지이 흘러가는 발자국,80,95,100,99,energetic
209,오래도록 평일 거실에 포근한 스며드는 따스한 숨결,44,82,70,64,warm
210,평일 서재에 환한 마음이 깃드는 발자국,63,98,100,93,happy
211,맑은 아침 상쾌한 기분 사이로 담백한 온기이 머무는다,15,93,78,61,warm
212,가만히 오후 거실에 안개 낀 번지는 소소한 기쁨,68,90,98,77,happy
213,아련히 주말 작은 방에 맑은 번지는 낮게 깔린 생각,221,74,47,34,sad
214,저녁 서재 무거운 마음 위로 찌릿한 눈가이 번지는는 느낌,2,57,35,38,uncomfortable
215,아련히 낮 서재에 맑은 스며드는 한기 어린 마음,234,57,39,27,lonely
216,포근한 평일 메마른 하루 사이로 잿빛 기분이 적시는다,221,53,33,44,sad
217,포근한 낮 울적한 기분 사이로 잔 떨림의 손끝이 깃드는다,202,75,58,55,anxious
218,저녁 복도에 포개진 감사이 깃드는 손끝,80,67,96,83,grateful
219,밤 부엌에 가라앉은 체력이 번지는 발자국,13,58,49,35,tired
220,안개 낀 새벽 고요한 평온 사이로 속삭이는 밤이 흘러가는다,285,98,75,72,romantic
221,흐린 새벽 따가운 신경 사이로 날 선 감정이 흘러가는다,15,100,87,79,angry
222,문득 담백한 온기과 감사한 마음이 방에 스며드는 축축한 공기,34,94,84,55,warm
223,주말 작은 방 울적한 기분 위로 가라앉은 표정이 적시는는 느낌,219,61,40,47,sad
224,평일 방 거칠어진 감정 위로 한기 어린 마음이 맴도는는 느낌,219,53,41,42,lonely
225,오래도록 은은한 설렘과 고요한 평온이 복도에 감싸는 축축한 공기,270,96,89,72,romantic
226,문득 가라앉은 표정과 따가운 신경이 복도에 머무는 흐린 공기,201,62,46,54,sad
227,천천히 충만한 미소과 고요한 평온이 작업실에 적시는 흐린 공기,96,75,85,78,grateful
228,바람 부는 저녁 잔잔한 안정감 사이로 은은한 설렘이 깃드는다,285,100,75,71,romantic
229,평일 거실에 창가의 잔빛이 적시는 공기,66,45,78,84,natural
230,어느새 새벽 부엌에 쌀쌀한 번지는 홀로 선 그림자,218,59,27,31,lonely
231,저녁 작업실 거칠어진 감정 위로 말린 어깨이 따르는는 느낌,36,58,43,43,tired
232,낮 작업실 설레는 느낌 위로 창가의 잔빛이 감싸는는 느낌,45,39,85,74,natural
233,오후 거실 가벼운 발걸음 위로 고마운 하루이 맴도는는 느낌,78,71,87,82,grateful
234,오후 복도에 비어 있는 자리이 깃드는 걸음,219,51,37,42,lonely
235,오래도록 창가의 잔빛과 잔잔한 안정감이 베란다에 머무는 바람 부는 공기,45,39,83,78,natural
236,아침 복도에 느려진 시간이 스며드는 시선,214,38,23,37,sleepy
237,포근한 낮 들뜬 마음 사이로 누그러진 긴장이 감싸는다,33,82,74,74,warm
238,조용히 소소한 기쁨과 들뜬 마음이 부엌에 따르는 축축한 공기,77,97,100,85,happy
239,낮 베란다 울적한 기분 위로 늘어진 하품이 따르는는 느낌,221,32,21,23,sleepy
240,낮 베란다 거칠어진 감정 위로 잿빛 기분이 스며드는는 느낌,206,51,42,55,sad
241,아련히 차분한 마음결과 고요한 평온이 베란다에 깃드는 축축한 공기,40,54,51,65,calm
242,은근히 주말 복도에 안개 낀 번지는 가라앉은 체력,18,46,50,37,tired
243,새벽 작업실 감사한 마음 위로 포근한 마음결이 감싸는는 느낌,24,87,79,68,warm
244,천천히 유쾌한 웃음과 설레는 느낌이 서재에 번지는 포근한 공기,62,90,100,79,happy
245,흐린 낮 설레는 느낌 사이로 도약하는 기분이 감싸는다,80,95,96,90,energetic
246,천천히 새벽 작은 방에 비 오는 적시는 고요한 호흡,50,54,50,54,calm
247,은근히 홀로 선 그림자과 따가운 신경이 부엌에 맴도는 축축한 공기,250,52,25,42,lonely
248,밤 작은 방 울적한 기분 위로 잦은 맥박이 흘러가는는 느낌,204,63,62,52,anxious
249,가만히 느릿한 시간과 상쾌한 기분이 부엌에 감싸는 비 오는 공기,49,55,52,54,calm
250,평일 거실에 도약하는 기분이 번지는 호흡,82,100,98,94,energetic
251,맑은 저녁 거칠어진 감정 사이로 가라앉은 체력이 깃드는다,39,52,36,36,tired
252,새벽 베란다 활기찬 리듬 위로 담백한 온기이 머무는는 느낌,34,75,84,65,warm
253,맑은 오후 고요한 평온 사이로 유쾌한 웃음이 머무는다,65,85,99,85,happy
254,흐린 오후 들뜬 마음 사이로 반짝이는 순간이 흘러가는다,58,84,96,75,happy
255,은근히 반짝이는 순간과 설레는 느낌이 작업실에 적시는 축축한 공기,59,82,94,80,happy
256,새벽 거실에 포근한 마음결이 따르는 호흡,29,89,70,64,warm
257,은근히 거슬리는 기분과 따가운 신경이 복도에 따르는 축축한 공기,6,47,34,29,uncomfortable
258,안개 낀 아침 거칠어진 감정 사이로 느려진 시간이 흘러가는다,206,30,29,23,sleepy
259,문득 오후 복도에 바람 부는 따르는 잔 떨림의 손끝,197,63,57,60,anxious
260,저녁 거실 무거운 마음 위로 늘어진 하품이 감싸는는 느낌,215,31,32,28,sleepy
261,맑은 밤 가벼운 발걸음 사이로 모아지는 집중이 흘러가는다,196,87,60,61,focused
262,저녁 베란다에 묵직한 하루이 머무는 걸음,17,45,35,42,tired
263,은근히 새벽 서재에 바람 부는 깃드는 달콤한 온기,276,98,79,67,romantic
264,아련히 밤 복도에 바람 부는 흘러가는 비어 있는 자리,240,58,42,45,lonely
265,어느새 낮 베란다에 포근한 머무는 가지런한 호흡,187,78,70,70,focused
266,천천히 달콤한 온기과 가벼운 발걸음이 방에 흘러가는 포근한 공기,289,100,85,62,romantic
267,주말 복도 들뜬 마음 위로 바람 결의 숨결이 흘러가는는 느낌,48,43,85,84,natural
268,은근히 주말 거실에 흐린 스며드는 차분한 마음결,54,60,59,49,calm
269,문득 새벽 방에 비 오는 흘러가는 잔 떨림의 손끝,205,66,57,47,anxious
270,조용히 누그러진 긴장과 활기찬 리듬이 방에 적시는 맑은 공기,33,93,80,59,warm
271,새벽 작업실에 날 선 감정이 머무는 맥박,357,96,80,65,angry
272,오래도록 거슬리는 기분과 지친 기운이 거실에 번지는 포근한 공기,12,46,39,45,uncomfortable
273,새벽 복도 활기찬 리듬 위로 바람 결의 숨결이 맴도는는 느낌,45,44,89,83,natural
274,비 오는 밤 상쾌한 기분 사이로 또렷한 시선이 적시는다,213,78,77,79,focused
275,포근한 밤 지친 기운 사이로 뜨거운 숨결이 깃드는다,6,100,80,77,angry
276,주말 베란다에 촉촉한 눈가이 맴도는 발자국,240,48,46,26,sad
277,살며시 모아지는 집중과 감사한 마음이 복도에 맴도는 바람 부는 공기,189,82,74,68,focused
278,평일 작은 방 잔잔한 안정감 위로 모아지는 집중이 감싸는는 느낌,186,71,61,72,focused
279,새벽 서재 상쾌한 기분 위로 속삭이는 밤이 따르는는 느낌,271,92,86,77,romantic
280,오후 부엌에 충만한 미소이 머무는 시선,108,78,92,88,grateful
281,평일 베란다에 누그러진 긴장이 따르는 맥박,45,93,77,71,warm
282,밤 부엌에 소소한 기쁨이 따르는 공기,45,100,100,80,happy
283,밤 거실에 팽팽한 의지이 깃드는 걸음,78,100,100,93,energetic
284,새벽 부엌 감사한 마음 위로 또렷한 시선이 감싸는는 느낌,211,76,61,70,focused
285,천천히 낮 거실에 비 오는 감싸는 또렷한 시선,213,84,68,73,focused
286,흐린 주말 상쾌한 기분 사이로 포개진 감사이 맴도는다,82,77,90,91,grateful
287,새벽 방에 가지런한 호흡이 맴도는 호흡,190,73,66,74,focused
288,안개 낀 주말 고요한 평온 사이로 나뭇결의 고요이 적시는다,63,47,84,88,natural
289,바람 부는 저녁 설레는 느낌 사이로 유쾌한 웃음이 깃드는다,72,96,91,79,happy
290,새벽 방 들뜬 마음 위로 고요한 호흡이 맴도는는 느낌,23,70,58,61,calm
291,문득 한기 어린 마음과 무거운 마음이 거실에 따르는 비 오는 공기,231,69,43,44,lonely
292,밤 작은 방 들뜬 마음 위로 모아지는 집중이 머무는는 느낌,199,80,80,68,focused
293,오래도록 홀로 선 그림자과 메마른 하루이 작업실에 감싸는 맑은 공기,227,67,28,35,lonely
294,아침 작은 방 메마른 하루 위로 축 처진 기운이 깃드는는 느낌,29,42,49,36,tired
295,천천히 찌릿한 눈가과 쓸쓸한 생각이 작업실에 번지는 바람 부는 공기,11,58,40,27,uncomfortable
296,오래도록 소소한 기쁨과 감사한 마음이 서재에 감싸는 축축한 공기,64,86,100,86,happy
